Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,Apr 16 Glass Tonnages Kg,May 16 Glass Tonnages Kg,Jun 16 Glass Tonnages Kg,Jul 16 Glass Tonnages Kg,Aug 16 Glass Tonnages Kg,Sep 16 Glass Tonnages Kg,Oct 16 Glass Tonnages Kg,Nov 16 Glass Tonnages Kg,Dec 16 Glass Tonnages Kg,Jan 17 Glass Tonnages Kg,Feb 17 Glass Tonnages Kg,Mar 17 Glass Tonnages Kg,Apr 17 Glass Tonnages Kg,May 17 Glass Tonnages Kg,Jun 17 Glass Tonnages Kg,Jul 17 Glass Tonnages Kg,Aug 17 Glass Tonnages Kg,Sep 17 Glass Tonnages Kg,Oct 17 Glass Tonnages Kg,Nov 17 Glass Tonnages Kg,Dec 17 Glass Tonnages Kg,Jan 18 Glass Tonnages Kg,Feb 18 Glass Tonnages Kg,Mar 18 Glass Tonnages Kg,04/18 Glass Tonnages Kg,05/18 Glass Tonnages Kg,06/18 Glass Tonnages Kg,07/18 Glass Tonnages Kg,08/18 Glass Tonnages Kg,09/18 Glass Tonnages Kg,10/18 Glass Tonnages Kg,11/18 Glass Tonnages Kg,12/18 Glass Tonnages Kg,01/19 Glass Tonnages Kg,02/19 Glass Tonnages Kg,03/19 Glass Tonnages Kg,Total from Apr 19,12 Month Average
John Smeaton Sports,Smeaton Approach,LS15 8TA,Leisure Centre,Cross Gates and Whinmoor,Y,LS15,22070,72187384,53.81337,-1.432994,435381,437431,Y,,,,,Glass,1,,1,628,393,706,540,988,672,"2,554",457,769,,742,634,465,517,"1,047",494,"1,319",517,,672,708,795,679,"1,012",543,"1,357",797,"1,509",484,704,735,636,"1,060","1,891",467,"1,184",11367,947
Kings Arms Public House,"Greenside, Pudsey",LS28 8PU,Pub,Pudsey,Y,LS28,22071,72283239,53.79163,-1.672128,432863,421697,Y,,,,,Glass,1,,1,925,778,665,383,"1,812",879,"1,642",,"1,201","1,674",380,"1,348",788,820,569,"1,430",723,,729,492,967,844,421,713,612,"1,420",797,"1,629","1,132","2,222","1,208",596,412,"1,046",467,965,12506,"1,042"
Kippax Ex Service Social Club,"Church Lane, Kippax",LS25 7HF,Social Club,Kippax and Methley,Y,LS25,22072,72555962,53.767271,-1.370275,430287,441606,Y,,,,,Glass,1,,3,"1,324",685,933,"1,408",,680,342,"1,626",831,544,"1,149",775,476,854,"1,044",800,821,,,,453,"1,500",926,474,"1,139",186,704,177,"1,755",175,"1,264",147,"1,481",346,,,7376,738
Kippax WMC,"Back Lane, Kippax",LS25 7QB,Social Club,Kippax and Methley,Y,LS25,22073,72324156,53.766402,-1.365752,430193,441905,Y,,,,,Glass,1,,3,,"1,906",,160,842,,341,"2,371",338,438,265,258,635,"1,236",348,909,568,823,539,308,279,913,,177,342,372,704,0,538,83,"1,174",0,833,0,546,,4593,418
Kippax Leisure Centre,"Station Rd, Kippax, Leeds", LS25 7LQ,Leisure Centre,Kippax and Methley,Y,LS25,,72555961,53.763924,-1.379867,429909,440977,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirkstall Leisure,"Kirkstall Lane, Kirkstall Road",LS5 3BE,Leisure Centre,Kirkstall,Y,LS5,22074,72558232,53.816404,-1.601626,435643,426326,Y,Y,,,,"Glass, Paper",1,,1,,727,,,484,,318,248,,,564,,,,,644,,,,,,694,,,,539,"2,051",,,591,,279,,314,,0,3774,629
Layby,British Library,LS23 7BQ,Road Side,Wetherby,Y,LS23,22076,72672979,53.920219,-1.32549,447331,444396,Y,Y,,,,"Glass, Paper",1,,1,"1,118",860,"1,711","1,997","1,663",375,"1,422","2,869","2,251","2,938","1,575","1,587","1,392","1,648","2,658","1,558","1,495",307,"1,488",372,"2,158","2,890",895,"1,289","1,558",590,,967,"1,394","1,287","1,223","1,854","1,737",944,681,"1,326",13562,"1,233"
Layby,Pool Road,LS21 1DY,Road Side,Adel and Wharfedale,Y,LS21,22207,72344958,53.907623,-1.658638,445772,422524,Y,,,,,Glass,1,,2,"1,395","1,516","1,105",913,"1,462","1,164","1,042","1,703",,"1,925","1,379","1,027",,,,"1,256","1,459",240,"1,201","2,182","1,915","1,338",606,"1,027","1,226","1,998","1,247","2,188","1,305","1,619","1,733","1,642","1,106","1,492","1,589","1,326",18471,"1,539"
Layby,"Out Gang Lane, Bramley",LS13 2QY,Road Side,Armley,,LS13,23090,,53.811048,-1.624668,435039,424812,Y,,,,,Glass,2,,2,,,,,,,,,,,,,,,101,600,,205,,"1,102",326,"1,405",421,891,625,"1,126","1,183",918,997,0,281,464,208,"4,352","1,531",868,12554,"1,046"
LCC Offices,Knowsthorpe Gate,LS9 0NP,Council Office,Burmantofts and Richmond Hill,Y,LS9,21974,72696391,53.785355,-1.499804,432231,433054,Y,,Y,,,"Glass, Textile",1,,1,,383,,,,,,472,,,,,,344,,,,892,196,,,,237,,,,"6,311",,,,489,,0,,,,6800,"2,267"
Ledston Luck Enterprise Park,Ridge Road,LS25 7BF,Road Side,Kippax and Methley,Y,LS25,,72322752,53.771037,-1.349579,430718,442966,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leeds Bradford Airport,Compound near Terminal (nr to mid-stay c/p),LS19 7TU,Transport,Otley and Yeadon,Y,LS19,22077,72685022,53.869265,-1.659439,441504,422492,Y,,,,,Glass,1,,6,"5,503","6,657","8,166","4,118","3,995","4,675","8,076","4,372","2,285","3,564","2,400","2,417","3,140","5,134","8,074","5,646","8,550",742,482,153,,496,2,,460,,839,,"1,409","4,373",430,"1,952","1,567","1,247",806,"1,073",14157,"1,416"
Leeds City College (former Park Lane College),"Denison Road, Park Lane",LS3 1AA,Educational Facility,Armley,Y,LS3,22154,72721203,53.800445,-1.559006,433884,429143,Y,,,,,Glass,1,,1,,,665,,,,,282,,,281,382,,,606,620,852,534,,505,795,661,559,702,819,"1,408",572,307,0,235,685,749,637,557,452,151,6573,548
Leeds Golf Centre (former Wike Ridge Inn),"School Lane, Wike Ridge Lane",LS17 9JW,Leisure Centre,Harewood,Y,LS17,22306,72552817,53.873003,-1.494516,441985,433333,Y,,,,,Glass,1,,1,,,462,,,,,724,,,359,,,,411,165,,354,638,421,698,,,,,309,,341,,,175,,0,,0,,825,165
Leeds Golf Club,Elmete Lane,LS8 2LJ,Sports Club,Roundhay,Y,LS8,22078,72532671,53.836481,-1.487373,437925,433832,Y,,,,,Glass,1,,1,648,,"1,297",,,320,,"1,442",,,514,,763,,642,239,,600,470,376,,189,,557,,629,"2,051",328,,552,137,,650,,503,,4851,693
Leeds Prison,"2 Gloucester Terrace, Stanningley Road",LS12 2TJ,Prison,Armley,Y,LS12,23093,72079833,53.796477,-1.575262,433436,428075,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,626,627,412,,,,,,,,,,,,,0,,,,0,0
Leeds West Indian Centre,10 Laycock Place,LS7 3JA,Community Centre,Chapel Allerton,Y,LS7,22083,72117299,53.812196,-1.536193,435201,430637,Y,,,,,Glass,1,,1,170,536,,324,606,,957,85,606,,524,176,269,,,605,,"2,329","1,450","1,257",464,,,,637,626,839,201,,354,218,,509,0,560,201,4144,414
Leodiensian Club,"Crag Lane, Alwoodley",LS17 5PR,Social Club,Alwoodley,Y,LS17,22084,72110488,53.855699,-1.569995,440027,428382,Y,,,,,Glass,1,,1,363,,,"1,317",,641,,155,,,563,,,622,527,,,,,,574,,410,,,,881,,190,,,326,,,,,1397,466
Lidl Halton,Selby Road,LS15 0DL,Supermarket,Temple Newsam,Y,LS15,23156,72661411,53.795059,-1.471573,433324,434906,Y,,,,,Glass & Paper,1,,4,,,,,,,,,,,,,,,,,,,,,,,"1,600",,"5,447","5,038","7,650","8,110","6,686","5,631","4,426","9,707","6,527","8,101","7,341","1,020",75684,"6,307"
Lidl Oulton,"60 Aberford Road, Oulton",LS26 8HP,Supermarket,Rothwell,Y,LS26,22088,72563523,53.750954,-1.448105,428429,436490,Y,,Y,,,"Glass, Textiles",1,,3,"8,101","6,378","10,179","7,275","9,102","5,101","8,179","9,078","13,802","12,729","10,397","10,043","8,247","11,918","11,430","10,101","10,007","7,634","3,506","1,179","11,095","12,055","8,286","8,108","12,925","10,790","10,066","11,523","7,619","7,696","10,675","8,998","13,308","12,687","11,088","9,639",127014,"10,584"
Lisker Drive Otley,Road Side,LS21 1DQ,Road Side,Otley and Yeadon,Y,LS21,22089,72639489,53.902207,-1.680486,445163,421091,Y,,,,,Glass,1,,1,"1,051","1,103",940,"1,385","1,620",541,250,"1,251","1,383","1,170","1,182","1,103",928,"1,097","1,097",796,"1,097",,,,"1,522","1,095","1,212","1,047","1,226","4,524",290,"1,271",807,"1,091",,"1,118","1,042",,925,"1,020",13314,"1,331"
Lord Darcy,618 Harrogate Road,LS17 8EH,Pub,Alwoodley,Y,LS17,22090,72534303,53.856286,-1.530111,440109,431005,Y,,,,,Glass,1,,1,993,722,"1,587","1,287","1,159","1,876","1,333","1,230",996,"1,313","1,406","1,200","1,418","1,410","1,443","1,256",964,,418,,997,"1,486",660,985,"1,474","1,377",488,"1,479","1,654",722,708,983,"1,509","2,193","1,351","1,377",15314,"1,276"
Mainline WMC,Pudsey Road,LS13 4LS,Social Club,Farnley and Wortley,Y,LS13,22091,72162285,53.795458,-1.619966,433306,425131,Y,,,,,Glass,1,,1,316,198,,635,92,,251,380,,633,597,286,534,160,202,376,181,,120,482,435,206,413,267,,563,,239,213,,147,,495,825,171,,2653,379
Manor Function Room,"Stoney Royd, Farsley",LS28 5JA,Business,Calverley and Farsley,,LS28,22093,72394321,53.813228,-1.678627,435264,421258,Y,,,,,Glass,1,,1,,,,,,241,,,,,,,,,,530,,382,117,253,,,,,,,,0,,,,,,,,,0,0
Meanwood Cricket Club ,Parkside Road,LS6 4NE,Sports Club,Moortown,,LS6,,72139056,53.83665,-1.571558,437907,428292,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,534,714,,,,,,,,0,,,,,,,,,,0,0
Mecure Hotel Weatherby,"Leeds Road, Wetherby ",LS22 5HE,Hotel,Wetherby,Y,LS22,22179,72555119,53.924357,-1.387283,447754,440334,Y,,,,,Glass,1,,1,671,461,573,586,,580,407,,"1,228",233,468,409,593,568,"1,179",973,376,"2,871","3,508","3,175",442,839,346,533,524,525,"1,608",,997,486,"1,037",278,"1,013",146,0,272,6885,626
Meanwood Valley Urban Farm,Sugarwell Road,LS7 2QG,Business,Chapel Allerton,,,,72566639,53.820546,-1.552704,436123,429544,,Y,,,,Paper,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercantile Club,"16 Commercial Street, Morley",LS27 8HN,Social Club,Morley South,Y,LS27,22099,72365814,53.746012,-1.599972,427812,426479,Y,,,,,Glass,1,,1,588,"1,266",484,237,627,,259,394,333,410,563,254,316,364,311,530,,"8,090","13,479","8,209",596,376,475,504,683,529,335,302,172,603,546,0,735,0,346,667,4919,410
Merlins,"Helston Road, Middleton",LS10 4PG,Pub,Middleton Park,,LS10,22100,72095841,53.75256,-1.560236,428556,429095,Y,,Y,,,"Glass, Textile",1,,1,322,158,,,446,137,600,,347,416,168,75,353,,,264,,,,,,,,,,,"7,650",,,,0,,240,0,,310,8200,"1,640"
Methley Cricket Club,"Church Side, Methley",LS26 8EF,Sports Club,Kippax and Methley,,LS26,22101,72565255,53.735499,-1.409408,426730,439056,Y,,,,,Glass,1,,2,"1,450","1,116","1,230","1,141","1,286","1,071","1,234","2,170","1,713",712,"1,454","1,300","1,689","1,280","1,326","1,348","1,745","1,070","1,579","1,069","1,663","1,237","1,976","2,581","2,057","2,392",290,"2,319","1,820","1,531","1,875","2,216","2,309","2,414","1,747","1,898",22869,"1,906"
Methley W.M.C ,"21 Pinfold Lane, Methley",LS26 9AA,Sports Club,Kippax and Methley,,LS26,22102,72380535,53.738065,-1.393898,427024,440077,Y,,,,,Glass,1,,1,488,891,"1,309",571,"1,139","1,044",904,"1,803","2,040","1,072","1,746","1,312","1,507",745,"1,602","1,176","1,167","1,056","1,247",521,"1,169","1,221","1,045","1,979","1,415","1,464",488,"1,370","1,382","1,180","1,592","2,205","1,452","1,440","1,180","1,424",16592,"1,383"
Mexborough Arms Public House,"Main Street, Thorner ",LS14 3DX,Social Club,Harewood,,LS14,22103,72385633,53.858721,-1.426497,440430,437818,Y,,Y,,,"Glass, Textile",1,,,384,754,591,"1,112",504,"1,483",886,526,868,"1,138",468,764,"1,472","1,318","1,089","1,376","1,318",,288,253,973,"1,039","2,189","1,020","1,060",626,336,"1,338","4,840",684,835,"1,365",200,"2,875","1,275","1,037",16472,"1,373"
Middleton Conservative Club,"4 Ring Road, Middleton",LS10 4AX,Social Club,Middleton Park,Y,LS10,22105,72170596,53.748282,-1.539005,428089,430498,Y,,,,,Glass,1,,3,161,416,249,766,74,564,300,354,277,498,759,300,560,547,,579,418,"1,058","3,348","2,985",165,938,319,236,,635,634,0,681,503,194,352,492,183,,465,4139,414
Moor Allerton Golf Club,"Syke Lane, Scarcroft",LS17 9NH,Sports Club,Harewood,Y,LS17,22107,72388356,53.869896,-1.480379,441646,434265,Y,,,,,Glass,1,,1,,,678,,673,,,634,183,726,,,534,,777,,402,,,,766,777,,278,,,335,511,,,367,,,,196,,1409,352
Moortown Rugby Union Football Club,"Moss Valley, Allwoodley",LS17 7NT,Sports Club,Alwoodley,Y,LS17,22110,72552524,53.856785,-1.554841,440154,429378,Y,,,,,Glass,1,,1,784,,,,,,,559,,,,,659,,667,,602,392,701,518,274,124,,464,,390,"2,165",,595,,275,505,306,,116,,4352,622
Moortown Social Club,Cranmer Gardens,LS17 5LA,Social Club,Alwoodley,Y,LS17,22111,72242542,53.848615,-1.554867,439245,429382,Y,,,,,Glass,1,,1,,,481,,,214,,155,"1,214",,437,,,622,351,,,457,345,,274,,,748,,531,732,,426,,275,440,,,233,565,3201,457
Morley United Services Club,"High Street, Morley",LS27 9AL,Social Club,Morley South,Y,LS27,22112,72350683,53.741861,-1.597782,427351,426626,Y,,,,,Glass,1,,1,,305,,,,,,531,,,,,,486,,,,"1,563","1,160","1,479",187,,,463,,641,975,,,345,,,,,,,1961,654
Morley W.M.C,"Fountain Street, Morley",LS27 9EH,Social Club,Morley South,Y,LS27,22113,72350235,53.742941,-1.603549,427469,426245,Y,,,,,Glass,1,,1,,,314,341,,513,300,488,166,425,,678,274,345,466,279,291,"1,880","1,107","1,331",595,344,,,179,343,634,,,,182,161,,508,0,"1,505",3511,439
Morrisons,"69 Town Street, Horsforth",LS18 5BP,Supermarket,Horsforth,Y,LS18,22115,72313089,53.838324,-1.640686,438068,423742,Y,Y,,,,"Glass, Paper",1,,8,"25,222","21,617","27,331","27,075","22,720","20,821","16,971","26,002","32,565","33,162","20,893","27,198","25,026","25,815","27,404","23,602","22,863",626,"1,300","1,281","29,861","30,576","25,733","25,223","28,851","27,252","24,004","28,306","22,304","19,085","22,857","19,866","25,777","25,567","17,279","23,548",284697,"23,725"
Morrisons,"Shopping Centre, Hunslet",LS10 2AP,Supermarket,City and Hunslet,Y,LS10,22116,72106174,53.779253,-1.529014,431539,431134,Y,Y,Y,,,"Glass, Paper, Small Electrical applicanes",1,,2,"3,526","3,371","5,198","4,721","5,381","3,568","4,777","3,759","7,010","5,631","7,244","5,313","4,657","4,287","6,091","5,625","2,942",186,787,210,"5,178","5,163","3,710","5,504","4,969","5,308",832,"4,596","3,540","3,923","5,069","3,982","9,355","4,434","4,434","4,638",55079,"4,590"
Morrisons,"1 Savins Mill Way, Kirkstall",LS5 3RP,Supermarket,Kirkstall,Y,LS5,22117,72507395,53.813169,-1.601869,435283,426312,Y,Y,Y,,,"Glass, Paper, Small Electrical applicanes",1,,4,"11,639","10,210","13,003","11,083","13,934","8,938","9,336","12,945","14,321","15,227","13,237","14,171","12,677","13,351","14,924","15,617","11,625",,240,,"12,563","14,764","11,456","16,159","14,332","11,055","6,287","10,081","6,361","5,782","11,265","3,956","15,195","11,113","10,533","13,612",119573,"9,964"
Morrisons,"Windsor Court, Morley",LS27 9BG,Supermarket,Morley South,Y,LS27,22118,72400031,53.745599,-1.603008,427765,426279,Y,Y,Y,,,"Glass, Paper",1,,6,"20,087","17,767","13,957","20,706","18,752","16,360","17,471","12,651","19,984","20,918","16,168","18,383","16,665","18,718","19,071","18,963","15,151",,,,"14,977","22,206","16,195","16,929","18,638","15,434",556,"18,760","19,943","16,002","17,278","7,442","16,045","11,560","13,488","17,845",172991,"14,416"
Morrisons,"1 Jail Yard Parade, Rothwell",LS26 0AF,Supermarket,Rothwell,Y,LS26,22119,72677116,53.748911,-1.479553,428186,434418,Y,Y,Y,,,"Glass, Paper, Small Electrical applicanes",1,,9,"10,309","12,951","20,373","14,300","16,367","14,034","12,464","13,173","17,350","18,007","11,645","17,802","14,381","17,929","15,907","12,691","11,110",,,,"12,304","15,914","15,148","12,773","14,189","21,249",,"18,174","11,151","14,397","15,641","11,540","14,716","15,172","15,343","9,972",161542,"14,686"
Morrisons,136 Swinnow Road,LS13 4DN,Supermarket,Armley,Y,LS13,22120,72551141,53.803652,-1.636184,434212,424058,Y,Y,Y,,,"Glass, Paper",1,,8,"21,803","21,776","22,562","24,547","29,623","20,977","21,143","22,033","26,787","27,111","21,905","25,075","23,245","24,198","24,906","25,150","20,927",,,786,"21,593","29,115","22,182","23,125","26,605","20,374","23,868","22,377","22,218","19,704","21,209","21,720","20,970","9,104","28,159","23,207",259514,"21,626"
Morrisons,"High Street, Yeadon",LS19 7PP,Supermarket,Otley and Yeadon,Y,LS19,22121,72564891,53.865811,-1.682588,441113,420971,Y,Y,Y,,,"Glass, Paper",1,,6,"12,386","16,652","12,189","18,023","17,293","10,113","8,522","15,215","17,802","10,751","16,320","11,416","13,308","16,322","11,635","10,311","10,967",712,240,393,"17,789","16,707","11,997","11,705","12,608","15,440","4,252","14,426","11,490","12,221","14,935","10,456","10,757","9,941","11,653","11,894",140074,"11,673"
Myrtle Tavern,Parkside Road,LS6 4NE,Pub,Moortown,,LS6,22123,72139055,53.836088,-1.570409,437845,428368,Y,,,,,Glass,1,,3,767,"1,161",,"2,886",,"1,306",,255,864,514,"1,450",,"1,032",657,702,,"1,508",742,,,,"1,298","1,243",462,512,"1,533","23,868",844,"2,292",,"1,471",281,235,796,595,760,33188,"3,017"
"Naburn Approach, near Pendas Arms","Car Park adj, Naburn Approach",LS14 2DF,Roadside,Cross Gates and Whinmoor,,LS14,23152,72721195,53.837273,-1.455514,438029,435928,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,822,276,322,,,795,,"1,076",495,"1,534","1,234","3,678",686,"1,393",891,"1,473",633,464,"1,346",14903,"1,242"
New Farnley Community Centre,"Low Moor Side, Farnley",LS12 5EA,Community Centre,Farnley and Wortley,,LS12,23130,72071530,53.776226,-1.623599,431165,424903,Y,,,,,Glass,1,,2,,,,,,,,,,,,,,,,,,170,,556,,"2,383","1,549","2,971","1,579","3,658","2,397","1,246","2,552","2,955","1,194","3,878","3,653","6,906","3,737","2,581",36335,"3,028"
New Farnley Cricket Club,Lawns Lane ,LS12 5ES,Sports Club,Farnley and Wortley,Y,LS12,22003,72056638,53.783624,-1.623457,431988,424908,Y,,,,,Glass,1,,3,,"1,785",,"2,302","1,461",,"2,018",,"1,363","1,323",821,,534,868,"1,356","1,408",,"1,107",784,"1,573",876,,"2,048",,"2,390",,902,995,,"1,255",,"1,165","2,542",,"1,325",,10575,"1,511"
New Masons Arms,"26 Aberford Road, Oulton",LS26 8JR,Hotel,Rothwell,,LS26,22132,72380863,53.747863,-1.452179,428083,436224,Y,,,,,Glass,1,,1,314,"1,030",,510,"1,515",,683,785,342,545,354,344,558,415,777,559,246,"20,940","20,599",,650,575,,"1,043",,"1,160",75,677,574,432,284,"1,400",879,325,135,470,6411,583
New Moorside Social Club,Holborn Approach,LS6 2PW,Social Club,Hyde Park and Woodhouse,Y,LS6,22354,72236183,53.813534,-1.561624,435343,429569,Y,,,,,Glass,1,,2,,,,,,,,,,,,,,,,,,382,416,895,,,,,,"1,100",,395,,413,,140,260,155,0,664,3127,391
New Travellers Rest,"Ring Road, Crossgates",LS15 7PF,Pub,Killingbeck and Seacroft,,LS15,22182,72053730,53.808996,-1.453038,434884,436115,Y,,,,,Glass,1,,1,314,765,,,,965,"1,551",497,,,,,372,344,232,661,342,,,,746,177,509,558,358,594,919,552,717,437,0,588,657,629,312,164,5928,494
New Wortley Labour Club ,Oak Road,LS12 2HJ,Social Club,Armley,,LS12,22138,72147009,53.794664,-1.57361,433235,428185,Y,,,,,Glass,1,,1,,,,,,,673,,,,556,,,,699,,181,,,,209,,,621,,94,,204,,181,456,,325,0,,298,1558,223
North Parade Car Park (formerly  The Licks Car park),"Cattle Market Street, Otley ",LS21 1BQ,Car Park,Otley and Yeadon,Y,LS21,22087,72339909,53.907119,-1.692748,445706,420283,Y,Y,,,,"Glass, Paper, Small Electrical applicanes",1,,7,"5,540","9,915","6,754","8,382","7,588","5,910","5,718","7,156","11,999","4,624","11,467",,"6,921","9,860","5,537","7,017","7,887",,180,,"12,576","7,081","6,239","7,457","7,234","6,578","8,756","11,149","7,542","8,461","10,795","5,425","7,761","7,170","7,624","7,857",96352,"8,029"
North Sea Chinese Restaurant,"40 Town Street, Stanningley, Pudsey",LS28 6EZ,Restaurant,Bramley and Stanningley,Y,LS28,22139,72557466,53.807921,-1.660521,434679,422453,Y,,,,,Glass,1,,2,,297,"1,490",91,"1,970",,627,570,234,821,,477,,521,,"1,148",172,361,541,,574,,571,390,,577,386,"2,049",,157,330,,,,,,3498,700
Old Masons Arms Public House,"59 Aberford Road, Oulton",LS26 8JA,Pub,Rothwell,Y,LS26,22143,72380884,53.750587,-1.450354,428387,436342,Y,,,,,Glass,1,,1,"1,091",,473,,741,405,735,893,512,407,265,317,835,410,418,330,328,,234,,596,"1,009",984,"1,223",262,"1,177",149,593,702,360,284,"1,617",807,735,181,632,7500,625
Old White Hart Public House,"Town Street, Beeston",LS11 8BZ,Pub,Beeston and Holbeck,Y,LS11,22146,72217684,53.772307,-1.567661,430750,428592,Y,,,,,Glass,1,,1,,,"1,461",,406,824,,,570,,375,182,,434,350,256,,425,,308,,347,,278,,390,"1,263",213,914,,79,,,0,,,2859,477
Otley Social Club,"Hollin Gate, Otley",LS21 2DP,Social Club,Otley and Yeadon,,LS21,22151,72343523,53.914117,-1.713097,446479,418943,Y,,,,,Glass,1,,1,419,,,154,,571,,,471,,,479,,476,,86,466,589,545,334,633,,386,,303,326,861,397,,,466,,446,205,,467,3472,434
Oxley Hall - University of Leeds,"Oxley Hall, Weetwood Lane",LS16 8HL,Student Accomodation,Weetwood,,LS16,22082,72224780,53.835753,-1.58769,437801,427231,Y,,,,,Glass,1,,1,,,,,,271,,,,,,,,,,,,"14,851","17,718","15,866",,,,,,,,,0,,,,,,299,376,675,225
Piccolino,"Wetherby Rd, Collingham, Wetherby",LS22 5AY,Restaurant,Weatherby,Y,LS22,,72568769,53.909048,-1.404709,446041,439204,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peggy Tub Social Club,Woodhouse Hill Road,LS10 2EF,Social Club,City and Hunslet,Y,LS10,22159,72236004,53.771033,-1.525586,430626,431366,Y,,,,,Glass,1,,3,456,660,"1,482",,"1,454",684,467,"1,002",208,828,844,591,480,638,,"1,057",562,,,,154,669,422,432,429,937,384,320,85,,489,704,160,366,,"2,395",6269,627
Podger Public House,"Ninelands Lane, Garforth",LS25 1NT,Pub,Garforth and Swillington,Y,LS25,22161,72537504,53.79277,-1.376922,433120,441143,Y,,,,,Glass,1,,3,"1,745",538,"3,699",,"3,144","2,058","1,204",779,"1,828","2,164","1,933","1,031","1,598","2,365","1,475","1,526","1,191",366,"1,150",720,"1,327",995,,"1,860",907,"3,394","1,129","3,987","1,064","1,249","1,594","2,269",79,"2,030",,701,18403,"1,673"
Potternewton Heights,Off Potternewton Lane,LS7 3DD,Road Side,Chapel Allerton,Y,LS7,22163,72160258,53.825054,-1.540717,436630,430330,Y,,,,,Glass,1,,1,606,,,,788,320,,,,,580,,716,,469,0,,899,"1,413",972,374,375,,,,"1,014",0,,,,,,235,,206,,1454,364
Priesthorpe School,"Preisthorpe Lane, Pudsey",LS28 5SG,Educational Facility,Calverley and Farsley,Y,LS28,22165,72277866,53.80997,-1.687141,434899,420699,Y,,,,,Glass,1,,1,,,,,504,,,190,,,,,,,,177,,479,190,298,,,,,,,,,,,,,,,,,0,#DIV/0!
Pudsey Bowling Club,Windmill Hill,LS28 8JQ,Sports Club,Pudsey,Y,LS28,22168,72282047,53.790373,-1.67566,432722,421465,Y,,,,,Glass,1,,1,316,,,91,851,,752,285,390,725,274,96,,174,354,150,,"6,544","3,817","4,778",,663,109,,714,469,505,142,890,761,200,136,997,,545,357,5714,519
Pudsey Civic Hall,"Dawson Corner, Pudsey",LS28 5TA,Council Office,Calverley and Farsley,Y,LS28,21956,72557325,53.80733,-1.681299,434607,421085,Y,Y,,,,"Glass, Paper",1,,3,"1,003",730,748,"1,300","2,278",861,"1,289",165,"2,582",756,"1,235","1,421",504,"9,704",,737,792,557,627,718,"1,154",660,801,706,383,"1,166","1,479",565,298,724,399,983,"1,811","5,560",608,"1,096",15072,"1,256"
Pudsey Leisure Centre,"Market Square, Pudsey",LS28 7BE,Leisure Centre,Pudsey,Y,LS28,22169,72394387,53.795451,-1.66261,433291,422322,Y,,,,,Glass,1,,3,"3,868","3,555","4,988","4,833","4,610","3,249","3,060","5,360","6,850","5,267","4,458","5,805","1,535","4,487","6,133","5,014","4,522",354,364,326,"6,023","5,050","4,656","5,708","5,617","2,122","5,513","5,137","4,369","2,817","4,465","4,863","4,130",,"8,174","5,948",53155,"4,832"
Queens Hotel,"Hope Street, Morley",LS27 8DY,Pub,Morley South,Y,LS27,22172,72359273,53.744935,-1.600664,427692,426434,Y,,,,,Glass,1,,3,"3,339","4,481","3,424","2,855","4,373","2,960","3,070","4,407","3,668","3,306","3,854","3,289","2,918","4,020","3,624","3,431","3,688","1,022",472,833,"4,061","4,323","2,641","3,247","3,527","3,525","2,570","3,546","1,980","3,026","2,831","2,043","2,739","2,525",417,"3,150",31879,"2,657"
Raging Bull Boxing Club ,Rookwood Road,LS9 0NJ,Sports Club,Burmantofts and Richmond Hill,,LS9,22540,72560924,53.79908,-1.4912,433762,433610,Y,,,,,Glass,1,,,,,370,,,,5,,,,,,,718,,227,,,"3,375","2,606",,,485,,,,670,,,,,,,,754,,1425,712
Ramada Jarvis,Otley Road,LS16 8AJ,Hotel,Adel and Wharfedale,Y,LS16,22178,72681049,53.867714,-1.592485,441355,426895,Y,,,,,Glass,1,,3,"1,456",700,717,"1,422",896,844,,"1,584",931,"1,176",754,,987,,"1,098",446,,"5,302","4,531","4,654",573,678,,,"1,072",,"1,608",,,,871,528,,,598,0,4676,779
Rawdon and Guiseley Conservative Club,24 Leeds Road ,LS19 6NL,Social Club,Horsforth,Y,LS19,22180,72290489,53.850097,-1.681552,439365,421047,Y,,,,,Glass,1,,1,324,,"1,264",549,610,,940,924,506,338,,192,,,,560,,,,,191,,184,,268,267,197,,98,,,,211,147,0,,1188,170
