Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,04/19 Glass Tonnages Kg,05/19 Glass Tonnages Kg,06/19 Glass Tonnages Kg,07/19 Glass Tonnages Kg,08/19 Glass Tonnages Kg,09/19 Glass Tonnages Kg,10/19 Glass Tonnages Kg,11/19 Glass Tonnages Kg,12/19 Glass Tonnages Kg,01/20 Glass Tonnages Kg,02/20Glass Tonnages Kg,03/20 Glass Tonnages Kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossgates Shopping Centre,Station Road,LS15 8DU,,,,,21977,72650983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossgates WMC,Orchard Road,LS15 7LP,Social Club,Killingbeck and Seacroft,,LS15,21978,72150534,53.805862,-1.455524,434534,435954,Y,,,,,Glass,1,,3,504,0,,889,273,,0,,817,109,342.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crusader Public House,"Long Meadow Gate, Garforth ",LS25 2BY,Pub,Garforth and Swillington,Y,LS25,21980,72314954,53.783566,-1.378652,432095,441038,Y,Y,,,,"Glass, Paper",1,,3,"3,587","5,705","7,319","4,513","7,110","4,240","5,001",4449,5016,6279,4572.65,5696.43,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepdale Community Centre,"Deepdale Lane, Boston Spa",LS23 6EH,Childrens Centre,Wetherby,Y,LS23,21981,72651236,53.907551,-1.356826,445902,442351,Y,,,,,Glass,1,,1,"2,830","5,659","4,287","4,537","6,598","4,291","4,452",6321,5761,6889,4634.58,2517.43,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Hotel,Kingswear Crescent,LS15 8LR,Pub,Cross Gates and Whinmoor,Y,LS15,21982,72111147,53.80243,-1.444119,434158,436708,Y,,,,,Glass,1,,3,381,"4,229",804,"4,298","4,827","1,761","2,297",2390,3302,1449,,2085.13,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonshire Hall,Cumberland Rd,LS6 2EQ,Business,Headingley,,LS6,23142,72055042,53.818326,-1.565614,435871,428696,Y,,,,,Glass,1,,,,,,0,,,,,,530,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewsbury Rd Social Club,Dewsbury Road,LS11 5LR,Social Club,Beeston and Holbeck,,LS11,21983,72532349,53.770104,-1.550312,430512,429737,Y,,,,,Glass,1,,1,410,,368,,524,,,510,,795,76.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drighlington Cricket Club,Station Road,BD11 1JU,Sports Club,Morley North,Y,BD11,21985,72547352,53.755411,-1.663447,428836,422288,Y,Y,,,,"Glass, Paper",1,,3,"5,161","4,795","3,837","5,621","4,630","3,413","3,875",4803,5512,3413,3615.81,5970.93,,,,,,,,,,,,,,,,,,,,,,,,,,
Driglington Tempest Club,Bradford Road,BD11 1AB,Social Club,Morley North,,BD11,22332,72352819,53.75745,-1.663112,429063,422309,Y,Y,,,,"Glass, Paper",,,,,665,,629,,,680,0,545,0,541,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Of Wellington,"Main Street, East Keswick",LS17 9DB,Pub,Harewood,Y,LS17,21987,72389346,53.892047,-1.451072,444125,436173,Y,,,,,Glass,1,,1,"1,007","2,082","1,270","1,331","1,611","1,363",974,1129,1574,1424,1378.79,1147.28,,,,,,,,,,,,,,,,,,,,,,,,,,
