Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,04/19 Glass Tonnages Kg,05/19 Glass Tonnages Kg,06/19 Glass Tonnages Kg,07/19 Glass Tonnages Kg,08/19 Glass Tonnages Kg,09/19 Glass Tonnages Kg,10/19 Glass Tonnages Kg,11/19 Glass Tonnages Kg,12/19 Glass Tonnages Kg,01/20 Glass Tonnages Kg,02/20Glass Tonnages Kg,03/20 Glass Tonnages Kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Toby Carvery/The Eleventh Earl,"4 Fink Hill, Horsforth",LS18 4DH,Pub,Horsforth,,LS18,21948,72305164,53.834517,-1.645232,437643,423445,Y,,,,,Glass,1,,1,541,598,,"1,099",137,364,747,534,369,853,341.13,541,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnbull Court Sheltered Housing Scheme,"Turnbull Court, Roundhay",LS8 3AZ ,Sheltered Housing,Roundhay,,LS8,23184,72738713,53.823571,-1.485617,436489,433958,,,,,,Glass,1,,1,,,,,,,248.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troydale Recreational Club,Troydale Grove,LS28 9LA,Social Club,Pudsey,,LS28,22270,72557787,53.786979,-1.639304,432356,423862,Y,,,,,Glass,1,,1,820,255,294,509,134,,463,,464,,68.81,820.11,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnbull Court Sheltered Housing Scheme,"Turnbull Court, Roundhay",LS8 3AZ ,Sheltered Housing,Roundhay,,,,72738713,53.823571,-1.485617,436489,433958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Pointers Public House,"Church Street, Woodlesford",LS26 8RE,,,,,22272,72383464,53.757844,-1.447228,429198,436537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Pointers Public House,"Church Street, Woodlesford",LS26 8RE,Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyersal Residents Association Community Centre,Tyersal Road Bradford,BD4 8EZ,Community Centre,Pudsey,Y,BD4,22273,72524670,53.791618,-1.698268,432854,419975,Y,,,,,Glass,1,,1,641,653,271,616,342,918,,833,,1787,,641,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turnbull Court, Sheltered Housing",Turnbull Court,LS8 3AZ,Housing,Gipton and Harehills,Y,LS8,23184,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unite Students,St Cecilia Street,LS2 7PA,Business,City and Hunslet,,LS2,23125,72681550,53.797394,-1.532029,433556,430922,Y,,,,,Glass,,,,,,,,,,569,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Road,Victoria Road,LS6 1AT,Road Side,Headingley,,LS6,,72222272,53.814966,-1.564581,435497,428766,,,Y,Y,,"Textile, Small Electrical Appliances",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon and Horses,"154 Leeds Road, Lofthouse",WF3 3LR,Pub,Ardsley and Robin Hood,Y ,WF3,22280,72562053,53.725484,-1.495529,425572,433383,Y,,,,,Glass,1,,1,391,,,355,,368,333,,372,,252.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagon and Horses,"2 Town Street, Pudsey",LS28 6HL,Pub,Bramley and Stanningley,,LS28,22281,72218574,53.80855,-1.657509,434750,422651,Y,,,,,Glass,1,,1,,,636,,218,,,417,,421,275.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waitrose Meanwood, ",Capitol Parade,LS6 4RJ,Supermarket,Meanwood,,LS6,22282,72685303,53.828313,-1.567814,436981,428544,Y,Y,Y,Y,,,,,,"21,756","15,070","17,940","28,450","17,398","17,244","20,265",17773,29096,20746,16183.75,21756,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waitrose Otley, ","60 Westgate, Otley",LS21 3AS,Car Park,Otley and Yeadon,Y,LS21,22283,72340493,53.903648,-1.697745,445318,419956,Y,,,,,Glass,1,,4,"8,909","9,994","7,647","11,004","7,797","7,539","8,915",6620,10576,9024,7447.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Leeds ARLFC,Redshaw Road,LS12 1HH,Sports Club,Armley,,LS12,22288,72168679,53.791048,-1.580371,432830,427742,Y,,,,,Glass,1,,3,,,907,,,860,,677,847,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetherby Cricket and Rugby Club,"Old Boston Road, Wetherby",LS22 5NB,Sports Club,Wetherby,Y,LS22,22356,72334381,53.919517,-1.381248,447219,440735,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetherby Golf Club,Linton Lane,LS22 4JF,Sports Club,Wetherby,Y,LS22,22290,72335692,53.926119,-1.401634,447942,439390,Y,,,,,Glass,1,,1,,635,,,517,368,451,454,542,665,258.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetherby WMC,"Sandown House, Sandbeck Way",LS22 7DN,Social Club,Wetherby,Y,LS22,22293,72567848,53.936926,-1.379376,449157,440841,Y,,,,,Glass,1,,1,,558,,,608,,,70,713,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wharfe Bank Business Centre (Otley Business park),"West c/p nr Pegholme Mill, Ilkley Road, Otley",LS21 3JP,Road Side,Otley and Yeadon,,LS21,22150,72340951,53.903233,-1.706754,445270,419365,Y,,,,,Glass,1,,1,,,0,,,,,,,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whetherby Lorry Park (Morrisons),Hallfield Road,LS22 6JG,Shops,Wetherby,Y,LS22,22291,72567788,53.927946,-1.382723,448156,440630,Y,Y,,,,"Glass, Paper",1,,7,"19,904","18,580","19,737",,"24,704","19,772","17,100",22364,26131,24224,18071.53,25322.11,,,,,,,,,,,,,,,,,,,,,,,,,,
Whetherby Sports Association,Boston Road,LS22 5NB,Sports Club,Wetherby,,LS22,22292,72334381,53.919517,-1.381248,447219,440735,Y,,,,,Glass,,,,499,,646,419,517,367,387,454,477,411,420.51,498.67,,,,,,,,,,,,,,,,,,,,,,,,,,
White Horse,"2 Hough Side Road, Pudsey",LS28 9DD,Pub,Pudsey,Y,LS28,22295,72545473,53.797418,-1.652787,433513,422968,Y,,,,,Glass,1,,1,508,764,673,402,327,411,328,565,816,755,550.51,507.53,,,,,,,,,,,,,,,,,,,,,,,,,,
White Rose Shopping Centre,Dewsbury Road,LS11 8LU,Shops,Morley North,Y,LS11,22296,72369232,53.75785,-1.574135,429139,428175,Y,Y,,,,"Glass, Paper",1,,6,"9,804","8,221","6,471","8,861","6,071","6,029","7,584",5202,10486,8263,6508.76,9803.66,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitkirk Cricket Club,Selby Road,LS15 0PG,Sports Club,Temple Newsam,Y,LS15,22299,72182132,53.795869,-1.453953,433423,436066,Y,,,,,Glass,1,,1,0,482,,"1,436",370,523,691,528,816,390,505.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Windmill Inn,"Main Street, Linton",LS22 4HT,Pub,Harewood,,LS22,22301,72390333,53.915379,-1.407192,446744,439035,Y,,,,,Glass,1,,1,0,500,526,292,"1,157",395,387,476,446,548,387.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodhouse Cricket Club,481 Meanwood Road,LS6 2BH,Sports Club,Chapel Allerton,,LS6,22302,72130481,53.822645,-1.561264,436353,428979,Y,,,,,Glass,,,,224,538,283,569,641,889,285,818,269,684,715.15,224,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woodhouse Moor, Site 1",Cliff Road,LS6 2UZ,Road Side,Hyde Park and Woodhouse,Y,LS6,22067,72236184,53.814344,-1.56091,435430,429008,Y,,,,,Glass,1,,2,979,649,148,"1,081",230,758,307,612,568,276,444.51,979,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodkirk Valley Football Club,"Dewsbury Road, Woodkirk",WF12 7JL,Sports Club,Morley South,,WF10,22988,72369364,53.722961,-1.552396,425251,427099,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodhouse Street,Woodhouse Street,LS6 2JW,Road Side,Headingley,,LS6,,72236297,53.814312,-1.555298,435430,429378,,,Y,Y,,"Textile, Small Electrical Appliances",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyke Ridge Gold Club,"School Lane, Wike Ridge Lane",LS17 9JW,Leisure Centre,Harewood,Y,LS17,22306,72552817,53.873003,-1.494516,441985,433333,Y,,,,,Glass,1,,1,,,,,617,,,,,528,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Wykebeck Arms ,Selby Road ,LS9 0EW,Pub,Temple Newsam,Y,LS9,22307,72181807,53.799954,-1.48135,433864,434258,Y,,,,,Glass,1,,1,435,0,669,,562,368,170,334,,667,337.32,434.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarnbury (Horsforth) Rugby Football Club,"Brownberrie Lane, Horsforth",LS18 5HB,Sports Club,Horsforth,Y,LS18,22308,72307109,53.84994,-1.650954,439357,423060,Y,,,,,Glass,1,,1,,526,636,242,506,364,,368,492,536,578.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeadon Liberal Club,"High Street, Yeadon",LS19 7PP,Social Club,Otley and Yeadon,Y,LS19,22309,72297700,53.865947,-1.683317,441128,420923,Y,,,,,Glass,1,,1,"1,214",423,529,855,251,745,235,744,841,821,0,1214,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeadon Town Hall,"High Street, Yeadon",LS19 7PP,Council Office,Otley and Yeadon,,LS19,22309,72297669,53.865708,-1.684551,441101,420842,Y,,,,,Glass,1,,1,765,"1,058","1,429",916,702,742,"1,151",637,1031,670,777.9,765,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorkshire Amateur Athletic Football Club,Roxholme Road,LS8 4EB,Sports Club,Chapel Allerton,,LS8,22310,72563780,53.823337,-1.521456,436447,431599,Y,,,,,Glass,1,,1,,,,,,,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaccharys Café,54 Fulneck,LS28 8NT,Restaurant,Pudsey,Y,LS28,22318,72283186,53.783697,-1.666878,431982,422047,Y,,,,,Glass,1,,1,481,,430,509,,533,463,534,,450,617.57,480.88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,TOTAL 03/19 Glass Tonnages Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
